ncohort,utype,rtype,bd.sel,od.sel,bd.pts,od.pts,earlystop,overdose,poorall,ov.sel,V2,efftarget,toxtarget
12,1,1,40.7639999999991,57.4720000000005,33.2649999999984,49.0866666666658,1.62,2.50283333333335,49.9560000000005,0.624,utpi,0.1,0.2
18,1,1,43.6179999999993,60.5260000000005,36.307333333333,52.541222222223,2.202,2.13311111111114,48.5680000000003,0.418,utpi,0.1,0.2
12,2,1,40.5259999999994,54.5820000000008,33.0121666666648,45.7521666666667,1.66,2.64616666666668,52.5140000000005,1.132,utpi,0.1,0.2
18,2,1,42.7459999999992,57.4400000000009,35.8248888888885,49.5344444444462,2.028,2.40033333333338,50.7460000000001,0.898,utpi,0.1,0.2
12,1,1,41.1239999999992,57.916,33.1911666666648,49.2151666666655,1.818,3.34850000000004,50.0139999999995,0.686,boinet,0.1,0.2
18,1,1,43.6839999999991,60.9379999999998,36.2974444444442,52.8875555555559,2.37,2.84911111111117,47.3279999999991,0.356,boinet,0.1,0.2
12,2,1,41.0839999999997,55.9540000000005,32.9263333333315,47.1496666666668,1.736,3.48350000000004,50.1819999999995,1.366,boinet,0.1,0.2
18,2,1,43.0579999999996,58.7460000000007,35.5328888888884,50.6418888888904,2.346,2.90055555555562,48.183999999999,0.926,boinet,0.1,0.2
12,1,1,42.3339999999996,61.9899999999983,28.2531666666643,48.0869999999982,1.582,8.58633333333339,58.8379999999987,0.942,tepi,0.1,0.2
18,1,1,43.6979999999996,63.8319999999984,31.0836666666646,51.1416666666655,1.886,7.51766666666695,55.4199999999987,0.568,tepi,0.1,0.2
12,2,1,42.5760000000001,61.4879999999991,29.3274999999977,51.9368333333321,1.58,8.93283333333337,56.5519999999986,1.83799999999999,tepi,0.1,0.2
18,2,1,43.9419999999998,63.2399999999993,32.0607777777757,55.9737777777775,1.976,7.6968888888892,53.7279999999987,1.022,tepi,0.1,0.2
12,1,1,40.8099999999991,58.4560000000003,31.5996666666652,47.524666666666,1.912,2.61566666666671,46.2480000000006,0.846,boin12,0.1,0.2
18,1,1,44.1339999999989,62.8700000000004,34.3687777777781,51.0554444444447,2.388,2.3283333333334,42.7260000000002,0.68,boin12,0.1,0.2
12,2,1,40.9279999999997,57.5780000000005,31.2418333333321,45.2976666666669,1.81,3.38316666666673,45.2560000000004,1.74999999999999,boin12,0.1,0.2
18,2,1,44.2819999999994,62.3600000000007,34.0348888888889,48.9632222222231,2.374,3.00644444444455,40.5360000000002,1.364,boin12,0.1,0.2
12,1,1,41.4819999999996,58.7679999999989,33.5984999999977,50.571166666665,2.622,4.21716666666672,51.3759999999984,0.698,ji3,0.1,0.2
18,1,1,43.2279999999993,61.1019999999991,35.9139999999993,53.1060000000002,2.97,3.75200000000009,50.8579999999985,0.326,ji3,0.1,0.2
12,2,1,41.008,57.022,33.6929999999978,49.7251666666663,2.512,4.4533333333334,50.9739999999984,1.41,ji3,0.1,0.2
18,2,1,42.3339999999999,58.67,35.7128888888883,52.5120000000015,3.016,3.95788888888898,50.5219999999985,0.85,ji3,0.1,0.2
12,1,1,38.9659999999993,55.5739999999999,31.4899999999981,46.9321666666653,3.008,2.48516666666669,53.7839999999996,0.542,printe,0.1,0.2
